SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
19869338;"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO";"AV  CASTELO BRANCO  582";"A";"HORTO";"35160294";"IPATINGA";"MG";"Brasil";"31";"38280150";-;
42887133;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO";"PRACA BENJAMIM GUIMARAES";"109";"CENTRO";"37220000";"BOM SUCESSO";"MG";"Brasil";"35";"38411558";"https://www.sicoobcredisucesso.com.br";
81014060;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU";"RUA JOAO PESSOA, 1.490";"CENTRO";"CENTRO";"89870000";"PINHALZINHO";"SC";"Brasil";"49";"33666800";"https://www.creditaipu.coop.br";
64480833;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE MARTINHO CAMPOS LTDA - SICOOB CREDIMAC";"PRACA GOVERNADOR VALADARES";"130  LOJA";"CENTRO";"35606000";"MARTINHO CAMPOS";"MG";"Brasil";"37";"35241512";-;
1604998;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS";"RUA DR  FERNANDO LEMOS  45";-;"CENTRO";"37490000";"SAO GONCALO DO SAPUCAI";"MG";"Brasil";"35";"32419300";"https://www.sicoobcredivass.com.br";
25404542;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG";"AV  MANOEL ATHAIDE";"713   1 ANDAR";"CENTRO";"39440000";"JANAUBA";"MG";"Brasil";"38";"38212546";"https://www.credivag.com.br";
968602;"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.";"AV  BRASIL LESTE  N  48";-;"CENTRO";"76380028";"GOIANESIA";"GO";"Brasil";"62";"33531651";-;
25387671;"COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS";"RUA MAJOR GOTE";"1699";"CENTRO";"38700001";"PATOS DE MINAS";"MG";"Brasil";"34";"38182699";-;
8044854;"COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO";"RUA MARINGA  520";-;"NOVA BRASILIA";"76908402";"JI-PARANA";"RO";"Brasil";"69";"34115130";"https://www.sicoobcentro.com.br";
3033469;"COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA";"AV. LUIZ DE CAMOES 243";-;"CORAL";"88523000";"LAGES";"SC";"Brasil";"49";"32512700";-;
53776852;"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO";"AVENIDA CIENTISTA FREDERICO DE MARCO, 21";-;"VILA XAVIER";"14810185";"ARARAQUARA";"SP";"Brasil";"16";"33222246";"https://www.credicentrosp.com.br";
71432926;"COOPERATIVA DE CREDITO DOS PROFISSIONAIS DE SAUDE DO TRIANGULO MINEIRO E SUL DE MINAS LTDA.-UNICRED PROGRESSO";"RUA ALAOR PRATA  294";"1  ANDAR";"CENTRO";"38015010";"UBERABA";"MG";"Brasil";"34";"33120123";"https://www.unicredmg.com.br";
27302181;"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";"AV  MARECHAL CAMPOS  1355";-;"SANTA CECILIA";"29043260";"VITORIA";"ES";"Brasil";"27";"33244655";"https://www.credufes.coop.br";
4281182;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO";"AV. PORTO ALEGRE, 223";"E - SALAS 101, 201, 303 E 403";"CENTRO";"89802132";"CHAPECO";"SC";"Brasil";"49";"33305800";"https://www.cresolcentral.com.br";
73254757;"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO";"AV CEL. ERNESTO BERTASO, 731";-;"CENTRO";"89850000";"QUILOMBO";"SC";"Brasil";"49";"33461200";"https://www.cresolcentral.com.br";
